Customer_Index,Churn_Probability,Risk_Level,MonthlyCharges,Customer_Value_Score,Retention_Priority,Top_Churn_Drivers,Top_Retention_Drivers,Recommended_Action
2262,0.8355724,Critical Risk,80.2,Medium Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__Partner_Yes, categorical__MultipleLines_No","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
3383,0.8330623,Critical Risk,75.5,Medium Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__DeviceProtection_Yes, categorical__Partner_No, categorical__StreamingMovies_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
3725,0.8320214,Critical Risk,70.8,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__gender_Male, categorical__PaymentMethod_Electronic check, categorical__Partner_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
922,0.8276283,Critical Risk,75.4,Medium Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__DeviceProtection_Yes, categorical__Partner_No, categorical__StreamingMovies_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
5522,0.82219136,Critical Risk,70.15,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__gender_Male, categorical__PaymentMethod_Electronic check, categorical__Partner_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
3843,0.82202846,Critical Risk,70.85,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__PaperlessBilling_Yes, categorical__PaymentMethod_Electronic check, categorical__MultipleLines_No","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
1428,0.82158893,Critical Risk,50.45,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__OnlineSecurity_No","categorical__InternetService_Fiber optic, categorical__Partner_Yes, numerical__MonthlyCharges","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__OnlineSecurity_No."
3731,0.82140607,Critical Risk,69.8,Medium Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","numerical__MonthlyCharges, categorical__Partner_Yes, categorical__MultipleLines_No","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
3845,0.821116,Critical Risk,73.9,Medium Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__MultipleLines_No, numerical__MonthlyCharges","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
2527,0.81778157,Critical Risk,83.3,Medium Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__Partner_Yes, categorical__StreamingTV_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
5610,0.8150158,Critical Risk,75.5,Medium Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure","categorical__gender_Male, categorical__Partner_Yes, numerical__MonthlyCharges","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure."
1206,0.81178606,Critical Risk,70.15,Medium Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure","categorical__gender_Male, categorical__Partner_Yes, numerical__MonthlyCharges","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure."
4482,0.8081562,Critical Risk,74.9,Medium Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure","categorical__gender_Male, categorical__Partner_Yes, numerical__MonthlyCharges","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure."
3876,0.7994929,High Risk,100.65,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","numerical__tenure, categorical__Partner_Yes, categorical__OnlineBackup_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
1556,0.79281986,High Risk,91.7,High Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__PaperlessBilling_Yes, categorical__gender_Male, categorical__TechSupport_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
6009,0.7898931,High Risk,103.85,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__MultipleLines_No","numerical__tenure, numerical__TotalCharges, categorical__OnlineBackup_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__MultipleLines_No."
2908,0.787895,High Risk,99.4,High Value,High,"numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__OnlineSecurity_No, numerical__tenure, categorical__DeviceProtection_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
3782,0.7847931,High Risk,84.05,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__Partner_Yes, categorical__Dependents_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
1568,0.7819331,High Risk,111.4,High Value,High,"categorical__Contract_Month-to-month, numerical__tenure, numerical__MonthlyCharges","categorical__TechSupport_No, categorical__OnlineBackup_No, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, numerical__MonthlyCharges."
5831,0.78160983,High Risk,90.8,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female","categorical__gender_Male, categorical__PaymentMethod_Electronic check, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female."
6991,0.7805835,High Risk,95.65,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female","categorical__gender_Male, categorical__PaperlessBilling_Yes, categorical__PaymentMethod_Electronic check","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female."
2085,0.7789856,High Risk,93.2,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__gender_Male, categorical__Partner_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
4624,0.77562976,High Risk,94.7,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__MultipleLines_No, categorical__Partner_Yes, categorical__DeviceProtection_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
6681,0.7736975,High Risk,91.05,High Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No","categorical__PaperlessBilling_Yes, categorical__Partner_Yes, categorical__StreamingMovies_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__OnlineSecurity_No."
4264,0.7680248,High Risk,104.45,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__gender_Male, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
6033,0.76799697,High Risk,88.95,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","numerical__tenure, categorical__Partner_Yes, categorical__StreamingMovies_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
3663,0.7663868,High Risk,88.4,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female","categorical__gender_Male, categorical__PaymentMethod_Electronic check, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female."
6342,0.75883,High Risk,104.1,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, numerical__TotalCharges, categorical__OnlineBackup_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
6967,0.75788194,High Risk,89.5,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","numerical__tenure, categorical__Partner_Yes, categorical__StreamingMovies_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
4165,0.74944335,High Risk,87.95,High Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__TechSupport_No, categorical__Partner_Yes, categorical__PaymentMethod_Electronic check","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
6550,0.74632806,High Risk,106.1,High Value,High,"numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__TechSupport_No, numerical__tenure, categorical__Partner_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
2008,0.7374805,High Risk,87.1,High Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__TechSupport_No, categorical__gender_Male, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
3050,0.73402536,High Risk,85.4,High Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female","categorical__gender_Male, categorical__TechSupport_No, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__gender_Female."
5128,0.7332506,High Risk,99.7,High Value,High,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female","numerical__tenure, categorical__gender_Male, categorical__PaperlessBilling_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female."
4169,0.7322251,High Risk,101.25,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
3438,0.73096305,High Risk,94.7,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, numerical__MonthlyCharges, categorical__Partner_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
5857,0.7259078,High Risk,88.25,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__PaperlessBilling_Yes, categorical__gender_Male, categorical__StreamingMovies_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
6557,0.7235584,High Risk,100.0,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__gender_Male, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
2474,0.7154716,High Risk,106.35,High Value,High,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female","numerical__tenure, categorical__gender_Male, numerical__TotalCharges","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female."
6524,0.7150972,High Risk,95.2,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__PaperlessBilling_Yes, categorical__Partner_Yes, categorical__Dependents_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
5704,0.7135872,High Risk,86.85,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, numerical__tenure, categorical__DeviceProtection_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
4413,0.698848,High Risk,89.15,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
1751,0.69424844,High Risk,89.95,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__TechSupport_No, categorical__Partner_Yes, categorical__StreamingMovies_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
3783,0.6797307,High Risk,105.2,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__gender_Male, categorical__OnlineBackup_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
524,0.67599946,High Risk,100.05,High Value,High,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, numerical__TotalCharges, categorical__Partner_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
3975,0.67554116,High Risk,85.8,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__PaymentMethod_Electronic check, categorical__gender_Male, numerical__tenure","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
1719,0.6738655,High Risk,107.95,High Value,High,"categorical__Contract_Month-to-month, numerical__tenure, numerical__MonthlyCharges","categorical__TechSupport_No, categorical__Partner_Yes, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, numerical__MonthlyCharges."
1602,0.6687834,High Risk,90.25,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, categorical__MultipleLines_No, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
5439,0.66752607,High Risk,96.15,High Value,High,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, categorical__PaymentMethod_Electronic check, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
3640,0.6661412,High Risk,95.9,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, categorical__StreamingTV_Yes, categorical__Partner_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
1245,0.66248137,High Risk,90.45,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","numerical__tenure, categorical__MultipleLines_No, categorical__Partner_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
6211,0.65609926,High Risk,85.75,High Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__TechSupport_No, categorical__gender_Male, categorical__DeviceProtection_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
5413,0.65366393,High Risk,94.0,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__PaymentMethod_Electronic check, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
2214,0.65228677,High Risk,86.3,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
4286,0.6447346,High Risk,88.05,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__MultipleLines_No","categorical__OnlineSecurity_No, categorical__StreamingTV_Yes, categorical__DeviceProtection_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__MultipleLines_No."
1645,0.64459723,High Risk,84.65,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, numerical__TotalCharges, categorical__gender_Male","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
445,0.6438351,High Risk,105.9,High Value,High,"numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__gender_Female","numerical__tenure, categorical__gender_Male, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, categorical__Contract_Month-to-month, categorical__gender_Female."
1618,0.6429766,High Risk,94.75,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__gender_Male, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
38,0.6362746,High Risk,106.35,High Value,High,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, numerical__TotalCharges, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
302,0.62747777,High Risk,90.4,High Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__OnlineSecurity_No","categorical__TechSupport_No, categorical__MultipleLines_No, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__OnlineSecurity_No."
4181,0.627023,High Risk,101.35,High Value,High,"categorical__Contract_Month-to-month, categorical__PaymentMethod_Electronic check, categorical__gender_Female","numerical__tenure, categorical__gender_Male, numerical__TotalCharges","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__PaymentMethod_Electronic check, categorical__gender_Female."
882,0.6262602,High Risk,83.9,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure","categorical__PaperlessBilling_Yes, categorical__gender_Male, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, numerical__tenure."
4182,0.6238358,High Risk,98.65,High Value,High,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female","numerical__tenure, categorical__TechSupport_No, categorical__PaperlessBilling_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female."
1389,0.6206101,High Risk,94.25,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__gender_Male, categorical__StreamingTV_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
1702,0.6205381,High Risk,104.4,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__OnlineSecurity_No, categorical__gender_Male, categorical__PaymentMethod_Electronic check","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
1821,0.61711055,High Risk,85.3,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, categorical__PaperlessBilling_Yes, categorical__StreamingTV_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
6889,0.6146473,High Risk,89.85,High Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic","categorical__TechSupport_No, categorical__Partner_Yes, categorical__PaymentMethod_Electronic check","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic."
4188,0.61343455,High Risk,103.3,High Value,High,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","numerical__tenure, categorical__TechSupport_No, categorical__gender_Male","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
6452,0.6116149,High Risk,87.75,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__Partner_No","categorical__OnlineSecurity_No, categorical__PaymentMethod_Electronic check, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__Partner_No."
2263,0.61098444,High Risk,98.15,High Value,High,"numerical__MonthlyCharges, numerical__tenure, categorical__gender_Female","categorical__OnlineSecurity_No, categorical__gender_Male, categorical__Partner_Yes","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, numerical__tenure, categorical__gender_Female."
5330,0.6102292,High Risk,92.5,High Value,High,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, numerical__tenure","categorical__TechSupport_No, categorical__MultipleLines_No, categorical__PaymentMethod_Electronic check","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, numerical__tenure."
4673,0.6093025,High Risk,102.8,High Value,High,"categorical__gender_Female, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__OnlineSecurity_No, categorical__gender_Male, categorical__PaymentMethod_Electronic check","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__gender_Female, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
3978,0.6085286,High Risk,90.7,High Value,High,"categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic","categorical__PaperlessBilling_Yes, categorical__PaymentMethod_Electronic check, categorical__MultipleLines_No","Proactive customer success outreach with a personalized retention offer and dedicated assistance. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic."
